Ticker,AAPL,AAPL,AAPL,AAPL,AAPL,AMZN,AMZN,AMZN,AMZN,AMZN,GOOGL,GOOGL,GOOGL,GOOGL,GOOGL,MSFT,MSFT,MSFT,MSFT,MSFT
Price,Open,High,Low,Close,Volume,Open,High,Low,Close,Volume,Open,High,Low,Close,Volume,Open,High,Low,Close,Volume
Date,,,,,,,,,,,,,,,,,,,,
2020-01-02,71.4765996590847,72.52858156247073,71.22325926076245,72.46826171875,135480400,93.75,94.90049743652344,93.2074966430664,94.90049743652344,80580000,66.91491828092151,67.92081451416016,66.8196375144199,67.92081451416016,27278000,150.75863421764512,152.61011978828174,150.33137054564196,152.50567626953125,22622100
2020-01-03,71.696182592324,72.52376928666806,71.53935243232584,71.76374053955078,146322800,93.2249984741211,94.30999755859375,93.2249984741211,93.74849700927734,75288000,66.89455006542131,68.17239322842448,66.8608008610866,67.56547546386719,23408000,150.32187193960533,151.8695164582388,150.07499755302646,150.60670471191406,21116200
2020-01-06,70.88548689932232,72.3741768820521,70.63455422652187,72.3355712890625,118387200,93.0,95.18450164794922,93.0,95.14399719238281,81236000,67.07470353986153,69.39170027421379,67.04344557379943,69.36639404296875,46768000,149.14451665528264,151.06247283904833,148.60330538796924,150.99600219726562,20813700
2020-01-07,72.34518902923438,72.60094451443848,71.77577337938688,71.9953384399414,108872000,95.2249984741211,95.69450378417969,94.60199737548828,95.34300231933594,80898000,69.49789480129157,69.64875536577131,69.05623219302926,69.2323989868164,34330000,151.27138077488013,151.60369056590727,149.3724180103726,149.61927795410156,21634100
2020-01-08,71.6985739444987,73.45508735263148,71.6985739444987,73.15348815917969,132079200,94.9020004272461,95.55000305175781,94.3219985961914,94.59850311279297,70160000,69.21801197598803,70.0631280606545,69.10933602043706,69.72518157958984,35314000,150.90103974022296,152.67657943105735,149.97055222344378,152.00244140625,27746500
2020-01-09,74.13068273740295,74.90036463569696,73.87975745537804,74.70734405517578,170108400,95.49449920654297,95.89099884033203,94.79000091552734,95.05249786376953,63346000,70.56333031718493,70.89830085438531,69.98172629744387,70.45713806152344,33200000,153.66401217988863,154.02481962095533,152.8949348348202,153.90138244628906,21385000
2020-01-10,74.94137084294664,75.44082088635776,74.3743628731269,74.876220703125,140644800,95.26850128173828,95.34700012207031,94.0,94.15799713134766,57074000,70.93751472809956,71.20896226489012,70.44771578618479,70.91220092773438,26258000,154.59455860928736,154.97434534980923,153.0373953045155,153.18931579589844,20725900
2020-01-13,75.19229822984673,76.50244329938738,75.07406634437707,76.47589874267578,121532000,94.56549835205078,94.9000015258789,94.04000091552734,94.56500244140625,55616000,71.2243417721376,71.53350634319095,70.73405063566273,71.46155548095703,30730000,153.58814070127926,155.05984010091498,153.11339989416706,155.03135681152344,21626500
2020-01-14,76.41317742986432,76.62308929816353,75.32018220682278,75.44322967529297,161954400,94.29399871826172,94.35549926757812,92.92749786376953,93.47200012207031,68818000,71.46005654089402,71.59057063646944,70.85313873662007,70.99308776855469,26076000,155.13576394480137,155.33516141166606,153.55013175988464,153.93942260742188,23477400
2020-01-15,75.2429736592525,76.12364189473249,74.6880266854858,75.11991882324219,121923600,93.61250305175781,93.94300079345703,92.75450134277344,93.10099792480469,57932000,71.11368347743128,71.49877431407914,71.04619262822877,71.42036437988281,21550000,154.40463316070066,155.6579553399232,154.35717068949413,154.93634033203125,21417900
2020-01-16,75.66279597280943,76.17189926714461,75.3008769215495,76.06090545654297,108829200,94.14949798583984,94.27950286865234,93.3010025024414,93.89700317382812,53190000,71.73051821248909,71.991054234151,71.46006263409811,71.9642562866211,26080000,156.0472356229151,157.84175444938765,155.74339469520643,157.77528381347656,23865400
2020-01-17,76.30942443229468,76.90538477645106,76.00300228022495,76.9029769897461,137816400,94.29450225830078,94.33200073242188,92.86250305175781,93.23600006103516,79946000,72.57861703888604,73.47236161437567,72.28136348423534,73.42124938964844,52424000,158.96215166642233,159.00962862726476,157.07267873319398,158.6583251953125,34371700
2020-01-21,76.53141272712692,76.97295078497612,76.2442896548719,76.38182067871094,110843200,93.25,94.7135009765625,93.0,94.5999984741211,74156000,73.39544471015016,73.93537154529689,72.95924161824139,73.55673217773438,48930000,158.25955326274573,159.6932794532372,158.02218291204835,158.08865356445312,29517200
2020-01-22,76.8667843985574,77.20698922015548,76.56036222573736,76.65446472167969,101832400,94.80449676513672,95.125,94.16699981689453,94.37300109863281,64326000,73.92792510020561,74.46635262161918,73.57707565322256,73.63711547851562,28458000,158.94310951182484,159.02857381045104,157.3100010748452,157.32899475097656,24138800
2020-01-23,76.70755279875391,77.10324719984139,76.15984382890906,77.02362823486328,104472000,94.25550079345703,94.4990005493164,93.63800048828125,94.22899627685547,49692000,73.81974363908597,74.1150132847147,73.4609509628069,73.67781066894531,26650000,157.7943071736997,158.37349137414458,156.92078607413185,158.2975311279297,19680800
2020-01-24,77.26973366124079,78.01287102929439,76.61103819892749,76.80165100097656,146537600,94.56849670410156,94.74949645996094,92.37200164794922,93.08200073242188,75324000,74.08126273759932,74.1497455459025,72.61037407881075,72.75875854492188,29786000,159.04759713884232,159.06659082024498,156.14218686539624,156.70237731933594,24918100
2020-01-27,74.81109052667422,75.22367624090043,73.56126499598109,74.54327392578125,161940000,91.0,92.05000305175781,90.76699829101562,91.41699981689453,70570000,71.04025524994445,71.29036443872995,70.44276461566322,71.0496826171875,34132000,153.00891432015612,155.1262681697583,152.10690993192532,154.0818328857422,32078100
2020-01-28,75.42392754574348,76.82334485387435,75.32500212699546,76.65203857421875,162234000,92.0250015258789,92.90550231933594,91.5009994506836,92.6624984741211,56160000,71.54641358018323,72.19451657572402,70.98168030050765,71.98113250732422,29724000,155.50606002902032,157.386029114127,154.83193635911937,157.1011962890625,24899900
2020-01-29,78.28310584272509,79.1034543464979,77.54237630271076,78.25656127929688,216229200,93.19999694824219,93.73750305175781,92.7509994506836,92.9000015258789,41760000,72.37614063669027,72.65801507586868,71.72754546979097,72.28880310058594,21566000,159.36094890964196,160.22498042935823,157.3195697689756,159.55084228515625,34754500
2020-01-30,77.33970834921887,78.19624735599628,76.90781612011679,78.1431655883789,126743200,92.9000015258789,93.64350128173828,92.53050231933594,93.53399658203125,126548000,71.36576634565895,72.21683393491814,71.2119299385252,72.1672134399414,27110000,165.2572370102274,165.2572370102274,162.16191844057855,164.0513916015625,51597500
2020-01-31,77.43378925544725,77.85602816826189,74.38402173692818,74.67838287353516,199588400,102.57350158691406,102.78600311279297,100.1135025024414,100.43599700927734,311346000,72.8426206238996,72.93244183951124,70.81791775939544,71.10177612304688,43822000,163.5102330263836,163.69062236086273,161.01309177742172,161.6302490234375,36142700
2020-02-03,73.42130011057627,75.6386578310323,72.91944232393651,74.47328186035156,173788400,100.52999877929688,102.42500305175781,100.01249694824219,100.20999908447266,117834000,72.53444375093086,73.75770686602394,72.2843346143234,73.57408905029297,71636000,161.8200789361987,165.68447449319962,161.79159565835778,165.57054138183594,30107000
2020-02-04,76.07782966764536,77.12257390401518,75.6724819221866,76.93196105957031,136616400,101.49400329589844,102.98999786376953,100.76850128173828,102.4834976196289,105786000,72.17913629710675,72.81681238861734,70.56830620024466,71.7285385131836,95880000,168.19116362071244,171.51434909378915,167.40309218425875,171.02061462402344,36433300
2020-02-05,78.0587078925949,78.35789935199301,76.95606664401838,77.55926513671875,118826800,103.5510025024414,103.5510025024414,101.5999984741211,101.99349975585938,87524000,72.63171390377897,72.67985026168276,70.94794090510676,71.76029968261719,36376000,174.73302272847744,174.89443279267977,169.39694306179686,170.81166076660156,39186300
2020-02-06,77.82948747921107,78.4688763315637,77.27213272836197,78.46646118164062,105425600,102.0510025024414,102.81500244140625,101.23999786376953,102.5114974975586,63660000,72.05456565445883,73.52247823589383,71.98013112225189,73.24507141113281,37822000,171.8276475214221,174.53367526571967,170.96361598336935,174.353271484375,27751400
2020-02-07,77.96582750464246,78.2149347676415,76.90893545307632,77.39989471435547,117684000,102.09950256347656,104.92649841308594,101.90499877929688,103.96399688720703,101906000,72.81929769136995,73.70559879869327,72.7210410665216,73.4009017944336,28360000,173.61271944332427,176.25227717924042,173.26140139327634,174.6001739501953,33529100
2020-02-10,75.9850613598187,77.76750946044922,75.90525344548281,77.76750946044922,109348800,104.25050354003906,106.77999877929688,104.24800109863281,106.69550323486328,101124000,73.30761445127459,74.87824391485704,73.206874148299,74.86732482910156,38302000,174.30577475067838,179.30004105721275,173.99244419039184,179.1671142578125,35844300
2020-02-11,78.26331921379253,78.33587187126635,77.08065923180118,77.29832458496094,94323200,107.54499816894531,109.29750061035156,106.80000305175781,107.54000091552734,114920000,75.09610172081878,75.92037918006768,74.70803495822373,74.93680572509766,34852000,181.01861612373997,181.06609308949365,174.22983017110295,175.12234497070312,53159900
2020-02-12,77.74816513747918,79.13881418044723,77.74816513747918,79.13397979736328,113730400,108.16000366210938,109.01249694824219,107.7645034790039,108.0,66686000,75.22463329676346,75.44496865670375,74.86783206779972,75.36209869384766,31042000,176.20476736113224,176.46113140653625,172.66320564680828,175.37872314453125,47062900
